2021-02-26T16:04:12.148Z [AUDIT] Token created by 'anonymous': tokenId='06b58867-4135-4c18-af32-837f949ff034', issuer='jfrou@01ezfhae126pz9nynx26bydx0c', subject='jfrou@01ezfhae126pz9nynx26bydx0c', expiry=none, refreshable=false
2021-02-26T16:04:17.921Z [AUDIT] Token created by 'jfevt@01ezfha4frb4q00nh5xqp613j2': tokenId='498fc11b-e224-4d26-a910-b3a1443af32f', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=1614441857888, refreshable=true
2021-02-26T16:04:28.416Z [AUDIT] Token created by 'anonymous': tokenId='25da3403-7fec-447b-87fa-8ee55819ae09', issuer='jfrt@01ezfhb3454qre0a6ghkyb1e7a', subject='jfrt@01ezfhb3454qre0a6ghkyb1e7a', expiry=none, refreshable=false
2021-02-26T16:04:33.694Z [AUDIT] Token created by 'jfrt@01ezfhb3454qre0a6ghkyb1e7a': tokenId='814a0e54-785c-4a18-9371-c19e538edabd', issuer='jfrt@01ezfhb3454qre0a6ghkyb1e7a', subject='jfrt@01ezfhb3454qre0a6ghkyb1e7a', expiry=2560435473692, refreshable=false
2021-02-26T16:04:44.686Z [AUDIT] Token created by 'anonymous': tokenId='8f06880e-c700-49db-badb-1fe2f89acb34', issuer='jffe@000', subject='jffe@000', expiry=none, refreshable=false
2021-02-26T16:04:44.787Z [AUDIT] Token created by 'jffe@000': tokenId='f545b94c-5bc4-4b79-9df9-613c7b3635c6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614356084786, refreshable=false
2021-02-26T16:05:49.877Z [AUDIT] Token created by 'jffe@000': tokenId='bc14179d-2e4e-46ea-bf52-055ce93fbaeb', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614356149877, refreshable=false
2021-02-26T16:05:49.892Z [AUDIT] Token created by 'jffe@000': tokenId='a15bb78f-6ba1-4d43-a135-f238b4d4ba18', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614356149892, refreshable=false
2021-02-26T16:05:49.896Z [AUDIT] Token created by 'jffe@000': tokenId='26ea470c-15d1-42d4-bea4-9d5b90191791', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614356149892, refreshable=false
2021-02-26T16:05:49.907Z [AUDIT] Token created by 'jffe@000': tokenId='ee307b56-01e4-4647-a74c-a9bd5eb53e39', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614356149906, refreshable=false
2021-02-26T16:05:59.549Z [AUDIT] Token created by 'jffe@000': tokenId='a583943f-e8bc-4070-9d5d-5aa39f574f08', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614357359544, refreshable=true
2021-02-26T16:05:59.709Z [AUDIT] Token created by 'jffe@000': tokenId='a589d6d6-b39f-442d-b60b-c6b6cf4b04b2', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614356159709, refreshable=false
2021-02-26T16:05:59.719Z [AUDIT] Token created by 'jffe@000': tokenId='51a18cda-3bb0-4e36-ac3c-fafda3a4b0a7', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614356159719, refreshable=false
2021-02-26T16:05:59.737Z [AUDIT] Token created by 'jffe@000': tokenId='a77e6144-c83e-45ca-a852-018fdf67837c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614356159737, refreshable=false
2021-02-26T16:11:14.047Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='a583943f-e8bc-4070-9d5d-5aa39f574f08', tokenId='e0cc987a-3ffe-443d-ac72-c2d23a36593a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614357674036, refreshable=true
2021-02-26T16:14:47.445Z [AUDIT] Token created by 'jffe@000': tokenId='7af6e42b-3b63-4155-af1a-466dd9bc48ad', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614356687445, refreshable=false
2021-02-26T16:14:47.445Z [AUDIT] Token created by 'jffe@000': tokenId='1f53719b-d632-4a2d-88ca-6b496ca527a8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614356687445, refreshable=false
2021-02-26T16:14:47.448Z [AUDIT] Token created by 'jffe@000': tokenId='35b68533-421f-45af-8a35-079684c4edcc', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614356687448, refreshable=false
2021-02-26T16:14:47.457Z [AUDIT] Token created by 'jffe@000': tokenId='44805d79-fedf-45ee-876c-7081d3f586b9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614356687457, refreshable=false
2021-02-26T16:15:17.648Z [AUDIT] Token created by 'jffe@000': tokenId='0083956b-8c03-4700-a53a-9a0f3497a1f8', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614356717647, refreshable=false
2021-02-26T16:15:59.092Z [AUDIT] Token created by 'jffe@000': tokenId='bc7c91fd-b0d5-4ab1-81ea-8f7b30fb4a9e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614356759091, refreshable=false
2021-02-26T16:16:36.502Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='e0cc987a-3ffe-443d-ac72-c2d23a36593a', tokenId='795db52c-59bc-4779-aa4a-e853662ce425', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614357996498, refreshable=true
2021-02-26T16:17:20.642Z [AUDIT] Token revoked by 'jffe@000': tokenId='795db52c-59bc-4779-aa4a-e853662ce425', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614357996498, refreshable=true
2021-02-26T16:17:21.002Z [AUDIT] Token created by 'jffe@000': tokenId='ab55d62c-9f04-4669-8b7f-a5cce983a5eb', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614356841001, refreshable=false
2021-02-26T16:17:21.002Z [AUDIT] Token created by 'jffe@000': tokenId='946d0f69-4458-4d42-a711-f38cc4ec9700', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614356841001, refreshable=false
2021-02-26T16:17:21.022Z [AUDIT] Token created by 'jffe@000': tokenId='1168cb6e-6aae-4606-a0b4-83922bb84586', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614356841021, refreshable=false
2021-02-26T16:17:21.024Z [AUDIT] Token created by 'jffe@000': tokenId='c6c8e969-160c-46c0-9c6c-3c5239ed923d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614356841024, refreshable=false
2021-02-26T16:17:25.069Z [AUDIT] Token created by 'jffe@000': tokenId='c462459f-44b9-4c94-b97e-c67fd38e223d', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614358045067, refreshable=true
2021-02-26T16:17:25.144Z [AUDIT] Token created by 'jffe@000': tokenId='f5eb4781-fbf2-4dd5-b7f9-41289a36742f', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614356845144, refreshable=false
2021-02-26T16:17:31.411Z [AUDIT] Token revoked by 'jffe@000': tokenId='c462459f-44b9-4c94-b97e-c67fd38e223d', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614358045067, refreshable=true
2021-02-26T16:17:35.792Z [AUDIT] Token created by 'jffe@000': tokenId='5b63f2b3-af6e-4155-ba61-d89a896726cb', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614358055789, refreshable=true
2021-02-26T16:17:35.905Z [AUDIT] Token created by 'jffe@000': tokenId='d5b9ac19-a0ca-4fca-b442-9614d8c42274', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614356855904, refreshable=false
2021-02-26T16:17:35.913Z [AUDIT] Token created by 'jffe@000': tokenId='a5a3ab9d-f01f-4827-9081-9469c61d3f5f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614356855913, refreshable=false
2021-02-26T16:17:35.913Z [AUDIT] Token created by 'jffe@000': tokenId='df3f1276-da1f-4e2d-9565-2e03739f74db', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614356855913, refreshable=false
2021-02-26T16:23:17.190Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='5b63f2b3-af6e-4155-ba61-d89a896726cb', tokenId='5fabf32b-3c32-4089-829b-db183fadfa86', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614358397187, refreshable=true
2021-02-26T17:24:02.715Z [AUDIT] Token created by 'jffe@000': tokenId='2998c388-7cdd-4c55-87f2-6f68117d2ff9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614360842715, refreshable=false
2021-02-26T17:24:02.715Z [AUDIT] Token created by 'jffe@000': tokenId='bf62f3dd-85bc-4545-b448-7759f0d3b7b9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614360842715, refreshable=false
2021-02-26T17:24:02.717Z [AUDIT] Token created by 'jffe@000': tokenId='e5a0c6be-af79-45fb-af33-25787f21b36d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614360842717, refreshable=false
2021-02-26T17:24:02.731Z [AUDIT] Token created by 'jffe@000': tokenId='9edc6401-4710-4527-9d2c-08715ef3557b', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614360842730, refreshable=false
2021-02-26T16:27:38.650Z [AUDIT] Token created by 'jffe@000': tokenId='6d4c0769-da5f-46b6-b6d7-7985fe21300c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614357458649, refreshable=false
2021-02-26T16:33:45.952Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='5fabf32b-3c32-4089-829b-db183fadfa86', tokenId='53d72158-8f13-4442-b10f-bae274d3de15', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614359025949, refreshable=true
2021-02-26T16:38:25.287Z [AUDIT] Token created by 'jffe@000': tokenId='ba05bae4-79ec-45e0-8801-3009083d755f', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614358105286, refreshable=false
2021-02-26T16:40:51.672Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='53d72158-8f13-4442-b10f-bae274d3de15', tokenId='7a4b20ef-9f1d-41d7-8f98-e0def8236af5', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614359451669, refreshable=true
2021-02-26T16:48:45.976Z [AUDIT] Token created by 'jffe@000': tokenId='a27e2103-1152-4810-873d-b56795d3cd5b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614358725976, refreshable=false
2021-02-26T16:58:46.223Z [AUDIT] Token created by 'jffe@000': tokenId='7758b494-81ea-4b0b-a171-f39026f715ec', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614359326222, refreshable=false
2021-02-26T17:04:40.695Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='7a4b20ef-9f1d-41d7-8f98-e0def8236af5', tokenId='db139224-f5a6-4cc4-af9c-41f714bf600a', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614360880691, refreshable=true
2021-02-26T17:08:47.620Z [AUDIT] Token created by 'jffe@000': tokenId='a25629fa-fac5-4b64-8950-68c8bdf7fb29', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614359927620, refreshable=false
2021-02-26T17:18:47.930Z [AUDIT] Token created by 'jffe@000': tokenId='a34c6741-1d4d-424e-9784-a9e56f21c01c', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614360527930, refreshable=false
2021-02-26T17:19:48.432Z [AUDIT] Token refreshed by 'jffe@000': oldTokenId='db139224-f5a6-4cc4-af9c-41f714bf600a', tokenId='14e11407-33f8-4944-a5cf-d31ab76990d1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614361788424, refreshable=true
2021-02-26T17:28:50.586Z [AUDIT] Token created by 'jffe@000': tokenId='fb39187b-3929-4366-b955-b6c086c826bd', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614361130586, refreshable=false
2021-02-26T17:34:04.370Z [AUDIT] Token created by 'jffe@000': tokenId='51304215-5e9a-40d1-aeec-567060caf023', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614361444369, refreshable=false
2021-02-26T17:34:04.370Z [AUDIT] Token created by 'jffe@000': tokenId='f6b6cc83-9b3f-4aef-a6f1-bc05cbd6c7d8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614361444370, refreshable=false
2021-02-26T17:34:04.373Z [AUDIT] Token created by 'jffe@000': tokenId='ba388d59-bb21-43f2-b7f6-e74f67298c83', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614361444373, refreshable=false
2021-02-26T17:34:04.374Z [AUDIT] Token created by 'jffe@000': tokenId='e9874691-ab57-439b-a35b-f87a2112ffb3', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614361444372, refreshable=false
2021-02-26T17:38:50.910Z [AUDIT] Token created by 'jffe@000': tokenId='bb29cebb-215a-4cd2-a562-4814299ae223', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614361730910, refreshable=false
2021-02-26T17:44:04.444Z [AUDIT] Token created by 'jffe@000': tokenId='6bc52f06-2693-4ced-89c6-c2b967ebc283', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614362044443, refreshable=false
2021-02-26T17:44:04.444Z [AUDIT] Token created by 'jffe@000': tokenId='9b05e660-34de-44e8-a52c-39f83a5fb618', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614362044444, refreshable=false
2021-02-26T17:44:04.444Z [AUDIT] Token created by 'jffe@000': tokenId='0cd90974-b957-4575-ae37-b7ad0143b217', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614362044444, refreshable=false
2021-02-26T17:44:04.450Z [AUDIT] Token created by 'jffe@000': tokenId='b4e21bf5-8dbc-4c4b-825d-f21740761306', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614362044450, refreshable=false
2021-02-26T17:48:54.215Z [AUDIT] Token created by 'jffe@000': tokenId='2f11a5e5-f82c-45b5-8c4a-2743fad44ebd', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614362334215, refreshable=false
2021-02-26T17:50:12.455Z [AUDIT] Token created by 'jffe@000': tokenId='e118ea8b-64ae-4fd4-98db-ba924eafb722', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614362412455, refreshable=false
2021-02-26T17:50:12.460Z [AUDIT] Token created by 'jffe@000': tokenId='82bd0749-cd76-400b-81b5-fc384d95037a', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614362412460, refreshable=false
2021-02-26T17:50:12.471Z [AUDIT] Token created by 'jffe@000': tokenId='007bb7e2-c8c4-47a2-9b60-8f108e429314', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614362412470, refreshable=false
2021-02-26T17:54:04.566Z [AUDIT] Token created by 'jffe@000': tokenId='d9e73cfa-7060-4312-95b4-a22a20ce1058', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614362644565, refreshable=false
2021-02-26T17:54:04.566Z [AUDIT] Token created by 'jffe@000': tokenId='76d09d83-20be-4efd-a80f-ef5991aff848', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614362644566, refreshable=false
2021-02-26T17:54:04.566Z [AUDIT] Token created by 'jffe@000': tokenId='f6bd89bb-d8b6-47cc-bdd7-a477d166052a', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614362644565, refreshable=false
2021-02-26T17:54:04.583Z [AUDIT] Token created by 'jffe@000': tokenId='1400d71c-dc98-4121-8b65-6c0883c92e71', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614362644583, refreshable=false
2021-02-26T18:04:04.596Z [AUDIT] Token created by 'jffe@000': tokenId='bebd8cec-82cc-4139-b3f1-91e044d4034c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614363244596, refreshable=false
2021-02-26T18:04:04.613Z [AUDIT] Token created by 'jffe@000': tokenId='5681e054-3b70-4f29-93eb-ffb208da943d', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614363244612, refreshable=false
2021-02-26T18:04:04.613Z [AUDIT] Token created by 'jffe@000': tokenId='44a38137-4e44-4b5c-908f-00028ec4366c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614363244613, refreshable=false
2021-02-26T18:04:04.622Z [AUDIT] Token created by 'jffe@000': tokenId='e63c381d-44ee-41a9-a950-85af29f898c8', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614363244622, refreshable=false
2021-02-26T18:14:04.766Z [AUDIT] Token created by 'jffe@000': tokenId='3f0d30f7-dac1-4cf1-af80-487e20154d4c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614363844765, refreshable=false
2021-02-26T18:14:04.767Z [AUDIT] Token created by 'jffe@000': tokenId='43dd7957-fc82-4398-bef1-7f60602fbe21', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614363844766, refreshable=false
2021-02-26T18:14:04.767Z [AUDIT] Token created by 'jffe@000': tokenId='0abbb3c0-d863-4911-a17f-551a806b317c', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614363844767, refreshable=false
2021-02-26T18:14:04.773Z [AUDIT] Token created by 'jffe@000': tokenId='08606225-6701-4290-b35a-07d44d694141', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614363844773, refreshable=false
2021-02-26T18:24:05.086Z [AUDIT] Token created by 'jffe@000': tokenId='694385a7-ad9c-4b7e-9512-4b27b7b57cb1', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614364445086, refreshable=false
2021-02-26T18:24:05.087Z [AUDIT] Token created by 'jffe@000': tokenId='b37f7f31-f378-40a7-81aa-dccea7b25443', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614364445087, refreshable=false
2021-02-26T18:24:05.095Z [AUDIT] Token created by 'jffe@000': tokenId='d198150e-0071-4dfc-b1a9-8bbf67427139', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614364445094, refreshable=false
2021-02-26T18:24:05.109Z [AUDIT] Token created by 'jffe@000': tokenId='31bcbf3a-2611-45c5-b1ab-0ecd5a751b94', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614364445109, refreshable=false
2021-02-26T18:34:05.245Z [AUDIT] Token created by 'jffe@000': tokenId='3bf01ac7-6c97-4dbf-827e-90b3124d10b5', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614365045245, refreshable=false
2021-02-26T18:34:05.251Z [AUDIT] Token created by 'jffe@000': tokenId='075d4d92-8ade-4753-a1a9-a91596d16a19', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614365045251, refreshable=false
2021-02-26T18:34:05.258Z [AUDIT] Token created by 'jffe@000': tokenId='7c2e20e3-6c37-429f-8174-d19723ed0eca', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614365045257, refreshable=false
2021-02-26T18:34:05.265Z [AUDIT] Token created by 'jffe@000': tokenId='a35191a2-144b-4bda-82c7-1cd7a66deca9', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614365045263, refreshable=false
2021-02-26T18:44:05.795Z [AUDIT] Token created by 'jffe@000': tokenId='6b477d9f-72bd-4116-879c-9a0636552b96', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614365645795, refreshable=false
2021-02-26T18:44:05.795Z [AUDIT] Token created by 'jffe@000': tokenId='0658cb97-80e7-4ddd-9cac-3412a2e0bc42', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614365645795, refreshable=false
2021-02-26T18:44:05.802Z [AUDIT] Token created by 'jffe@000': tokenId='d7cf54ec-d959-4d64-93c2-7e57f11c14d6', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614365645801, refreshable=false
2021-02-26T18:44:05.803Z [AUDIT] Token created by 'jffe@000': tokenId='cb937ecd-bb5a-407a-99e7-f5a01d27bc94', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614365645803, refreshable=false
2021-02-26T18:54:08.905Z [AUDIT] Token created by 'jffe@000': tokenId='5db24d6d-bc8f-4af5-a079-6682577a4d67', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614366248904, refreshable=false
2021-02-26T18:54:08.905Z [AUDIT] Token created by 'jffe@000': tokenId='170fc6c4-76da-4ee3-94fe-ed887bf6fb02', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614366248904, refreshable=false
2021-02-26T18:54:08.905Z [AUDIT] Token created by 'jffe@000': tokenId='1b787ea4-90ed-4388-b8da-a0358e0d9949', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614366248905, refreshable=false
2021-02-26T18:54:08.906Z [AUDIT] Token created by 'jffe@000': tokenId='624dbada-50d2-4048-8726-40ae5f7f9c91', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614366248906, refreshable=false
2021-03-01T17:56:59.183Z [AUDIT] Token created by 'anonymous': tokenId='84e5a980-c0be-49fd-b2cd-69cc103383ce', issuer='jfrou@01ezfhae126pz9nynx26bydx0c', subject='jfrou@01ezfhae126pz9nynx26bydx0c', expiry=none, refreshable=false
2021-03-01T17:56:59.561Z [AUDIT] Token revoked by 'anonymous': tokenId='06b58867-4135-4c18-af32-837f949ff034', issuer='jfrou@01ezfhae126pz9nynx26bydx0c', subject='jfrou@01ezfhae126pz9nynx26bydx0c', expiry=none, refreshable=false
2021-03-01T17:57:04.514Z [AUDIT] Token created by 'anonymous': tokenId='8170102d-ae2e-4654-b2c8-f77e163e9e62', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=none, refreshable=false
2021-03-01T17:57:04.637Z [AUDIT] Token revoked by 'anonymous': tokenId='b03c0d95-4d86-4eed-b4e6-46634ff6519b', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=none, refreshable=false
2021-03-01T17:57:05.239Z [AUDIT] Token created by 'anonymous': tokenId='1619a885-b43c-4057-a281-b515752f340f', issuer='jfmd@01ezfhaehakhc23s8yknmdceje', subject='jfmd@01ezfhaehakhc23s8yknmdceje', expiry=none, refreshable=false
2021-03-01T17:57:05.286Z [AUDIT] Token revoked by 'anonymous': tokenId='31ddfdce-39db-45a9-b630-d2de44a961f7', issuer='jfmd@01ezfhaehakhc23s8yknmdceje', subject='jfmd@01ezfhaehakhc23s8yknmdceje', expiry=none, refreshable=false
2021-03-01T17:57:06.847Z [AUDIT] Token created by 'jfevt@01ezfha4frb4q00nh5xqp613j2': tokenId='17ed2ef7-3836-47b5-83b4-577156fc60c8', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=1614707826840, refreshable=true
2021-03-01T17:57:06.857Z [AUDIT] Token created by 'jfevt@01ezfha4frb4q00nh5xqp613j2': tokenId='fb3b95ab-e49d-4119-a3a0-9f8eea3e3878', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=1614707826843, refreshable=true
2021-03-01T17:57:06.921Z [AUDIT] Token created by 'jfevt@01ezfha4frb4q00nh5xqp613j2': tokenId='eb5995b9-f960-44dd-a807-1e08484e7d5b', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=1614707826845, refreshable=true
2021-03-01T17:57:06.924Z [AUDIT] Token created by 'jfevt@01ezfha4frb4q00nh5xqp613j2': tokenId='6263963a-0362-4ecd-9cb0-eb569d149271', issuer='jfevt@01ezfha4frb4q00nh5xqp613j2', subject='jfevt@01ezfha4frb4q00nh5xqp613j2', expiry=1614707826843, refreshable=true
2021-03-01T17:57:08.357Z [AUDIT] Token created by 'anonymous': tokenId='7d624e33-291b-46d7-8007-7275502bc368', issuer='jfac@01ezfha4frb4q00nh5xqp613j2', subject='jfac@01ezfha4frb4q00nh5xqp613j2', expiry=1614621548347, refreshable=false
2021-03-01T17:57:15.468Z [AUDIT] Token created by 'anonymous': tokenId='7ae19547-c5c3-4931-8aab-e0d5683a1020', issuer='jfrt@01ezfhb3454qre0a6ghkyb1e7a', subject='jfrt@01ezfhb3454qre0a6ghkyb1e7a', expiry=none, refreshable=false
2021-03-01T17:57:15.476Z [AUDIT] Token revoked by 'anonymous': tokenId='25da3403-7fec-447b-87fa-8ee55819ae09', issuer='jfrt@01ezfhb3454qre0a6ghkyb1e7a', subject='jfrt@01ezfhb3454qre0a6ghkyb1e7a', expiry=none, refreshable=false
